TimeStamp,AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,F7_THETA,F7_ALPHA,F7_LOW_BETA,F7_HIGH_BETA,F7_GAMMA,F3_THETA,F3_ALPHA,F3_LOW_BETA,F3_HIGH_BETA,F3_GAMMA,FC5_THETA,FC5_ALPHA,FC5_LOW_BETA,FC5_HIGH_BETA,FC5_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,P7_THETA,P7_ALPHA,P7_LOW_BETA,P7_HIGH_BETA,P7_GAMMA,O1_THETA,O1_ALPHA,O1_LOW_BETA,O1_HIGH_BETA,O1_GAMMA,O2_THETA,O2_ALPHA,O2_LOW_BETA,O2_HIGH_BETA,O2_GAMMA,P8_THETA,P8_ALPHA,P8_LOW_BETA,P8_HIGH_BETA,P8_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,FC6_THETA,FC6_ALPHA,FC6_LOW_BETA,FC6_HIGH_BETA,FC6_GAMMA,F4_THETA,F4_ALPHA,F4_LOW_BETA,F4_HIGH_BETA,F4_GAMMA,F8_THETA,F8_ALPHA,F8_LOW_BETA,F8_HIGH_BETA,F8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4
1554499921.237309,644.729394,155.831555,73.207622,66.104292,15.101293,351.715831,86.117434,37.473581,34.326232,7.627430,31.112089,8.047526,3.333623,3.059535,0.636223,1221.667623,297.500585,132.181500,119.970144,26.964640,1919.925969,461.485887,190.574823,163.498372,33.169297,338.119604,95.636135,51.973639,51.044702,13.873187,133.126714,37.375232,19.465602,19.380822,5.038995,1239.449216,303.593446,138.104866,125.204416,26.607565,1251.690721,307.856311,135.329310,119.848449,25.755853,12.483496,4.072985,2.176867,2.097359,0.566798,1861.811499,464.653568,200.871777,171.727476,35.639916,477.793712,117.640577,53.777121,45.037184,9.617985,1481.769938,354.857451,158.423884,132.204656,28.640725,377.738806,98.575585,53.791473,48.749703,12.604069,4,3,1,4,4,4,4,4,4,1,4,4,4,4
1554499921.364604,472.317948,98.912411,38.690152,35.424811,8.118508,255.433854,55.408226,19.992861,18.479242,4.108488,22.534380,5.135741,1.762849,1.647839,0.351406,884.772900,189.907175,69.807602,64.394730,14.520815,1403.105328,295.026761,101.698276,87.915708,18.061134,243.375960,61.409266,27.419009,27.304516,7.436654,95.143554,23.706935,10.405215,10.385036,2.718518,897.868774,196.003245,75.096734,67.274860,14.292351,909.083944,197.525637,72.158825,64.638616,13.841908,8.791336,2.758200,1.153182,1.138827,0.315574,1344.854864,301.860176,106.020247,92.130996,19.351853,342.282578,75.451273,28.365171,23.997216,5.141398,1066.260493,226.764921,83.929394,70.718066,15.419431,272.745563,63.622962,28.117385,26.034903,6.829946,4,3,1,4,4,4,4,4,4,1,4,4,4,4
1554499921.489695,503.761363,90.067484,22.469683,21.868571,5.658530,272.643267,51.002190,11.939339,11.449404,2.871850,24.262937,4.594031,1.044746,1.030217,0.261152,938.888142,173.254543,40.596653,39.805186,10.232110,1499.448024,266.657269,59.873658,54.354855,13.212040,262.183820,56.894100,15.719730,16.820986,5.142533,100.861783,21.439433,6.140573,6.399112,1.894448,945.560605,179.271126,46.051021,41.083853,10.163746,963.987683,179.471292,42.774189,39.871035,9.708467,9.243620,2.634971,0.670936,0.714827,0.229436,1428.246134,277.675166,62.304259,56.669144,14.030451,357.405384,67.995787,16.243043,14.574811,3.506766,1127.406710,206.755246,48.471257,42.838840,10.774369,291.649786,59.071789,15.746843,15.913834,4.711214,4,3,1,4,4,4,4,4,4,1,4,4,4,4
1554499921.614185,862.839286,156.382360,27.399922,30.207291,8.769753,472.495343,87.680189,14.705813,15.708487,4.448152,42.848764,7.717964,1.317008,1.430656,0.413761,1618.137547,298.335819,49.616906,54.802257,15.973241,2582.378588,453.461510,72.097482,75.095499,21.232616,459.359301,98.722795,18.850664,23.489243,7.927637,175.310355,36.867936,7.450470,8.887386,2.888597,1617.206578,305.547829,55.464103,55.661995,16.182851,1655.672243,305.421433,51.682180,54.266261,15.171884,16.275293,4.419127,0.812288,0.979972,0.349441,2482.395187,470.388098,77.243559,78.231903,22.446399,615.239235,114.512878,19.535594,19.995514,5.387977,1964.896362,355.184762,57.567183,57.687876,16.650892,507.754564,101.682695,18.843061,21.945334,7.055227,4,3,1,4,4,4,4,4,4,1,4,4,4,4
1554499921.738675,1560.986905,302.258696,49.594624,58.306766,16.481232,861.358960,167.743482,26.167816,30.176780,8.348618,78.681309,14.704951,2.395326,2.756492,0.770105,2946.163103,573.051165,89.625166,105.504372,29.976568,4695.949793,866.860957,127.624472,145.341610,40.073678,838.092707,189.444297,34.215167,45.826893,14.886757,320.233454,70.912564,13.390853,17.289585,5.362477,2939.673447,583.405042,95.614521,107.123544,30.621929,3009.479721,583.144809,91.093447,104.149245,28.559521,30.167547,8.237759,1.471186,1.872659,0.642134,4556.012544,892.321466,139.697754,151.770918,42.388340,1126.474789,217.964084,35.466805,38.792155,10.182337,3614.982105,681.392460,102.519256,110.918646,31.170267,926.319962,194.092738,34.769320,42.596609,13.041399,4,3,1,4,4,4,3,4,4,4,4,4,4,4
1554499921.863165,2454.029249,501.523057,80.964469,98.201977,26.283361,1359.252516,276.783704,42.105164,50.758550,13.305178,124.826916,24.289841,3.894960,4.642886,1.220367,4645.175472,947.894034,145.977460,177.507148,47.695277,7399.217536,1431.640927,205.515990,245.542912,63.927301,1320.450640,312.793728,56.284010,77.651285,23.731973,506.340434,117.398041,21.881595,29.274355,8.492714,4643.812197,962.528535,151.533583,180.695229,48.904815,4745.777419,962.028296,146.170911,175.281080,45.521751,48.228874,13.411955,2.416207,3.145283,1.014948,7226.323833,1467.625076,227.165842,256.720906,67.636952,1787.745275,359.672777,58.189661,65.557479,16.306478,5742.554439,1126.525140,166.360107,187.105247,49.557375,1462.511838,319.836660,57.742413,71.983744,20.638612,4,3,1,4,4,4,3,4,4,4,4,4,4,4
1554499921.987655,3319.370339,701.847456,111.053629,138.795353,35.314338,1842.011409,386.146799,57.161524,71.724402,17.871540,169.445742,33.967681,5.322067,6.572756,1.635554,6293.211025,1324.202083,199.899899,250.812205,63.950592,10027.173825,1998.492586,279.477240,347.935307,85.911630,1782.792168,436.669487,77.831543,110.177526,31.862892,685.230350,164.210895,30.157652,41.524101,11.359862,6296.888464,1342.765463,204.377880,255.770190,65.759990,6432.170948,1341.765168,198.346630,247.765804,61.090493,65.637196,18.583835,3.335801,4.449043,1.358173,9825.711590,2044.770599,310.558135,363.922291,90.867215,2431.485589,502.227672,80.108826,92.792201,21.952115,7817.385897,1573.438938,227.558932,264.948592,66.411600,1980.017914,446.090950,80.164921,101.885726,27.570600,4,3,1,4,4,4,3,4,4,4,4,4,4,4
1554499922.112445,3864.306523,846.814946,130.420073,167.668292,40.778979,2146.509270,465.022898,66.594187,86.643366,20.635406,197.857276,41.035911,6.228784,7.959643,1.887016,7335.390665,1596.097312,234.517624,302.999175,73.695062,11695.910503,2408.115680,326.433347,421.150741,99.204690,2069.782650,526.009094,92.200578,133.451210,36.756745,797.747045,198.123931,35.630123,50.284814,13.076507,7352.778851,1616.945659,237.396997,309.253197,76.004281,7503.820766,1615.160213,231.163233,299.323676,70.423166,76.790691,22.293679,3.946599,5.388642,1.564215,11487.107345,2461.444014,363.665602,440.521678,104.868780,2844.840701,605.675877,94.295489,112.129682,25.356436,9142.716264,1896.693596,266.933629,320.590761,76.505666,2304.982874,537.408690,95.046450,123.106323,31.660939,4,3,1,4,4,4,3,4,4,4,4,4,4,4
1554499922.238035,3888.338696,890.991335,133.707132,175.233380,40.910805,2161.340789,488.625041,67.876092,90.539323,20.703486,199.377093,43.307731,6.373150,8.343024,1.892954,7387.387397,1678.499930,240.437969,316.710858,73.764674,11787.022037,2532.042999,334.093527,440.765769,99.491725,2075.993472,552.741044,95.331227,139.705789,36.826558,802.087411,208.500072,36.743219,52.632277,13.087262,7416.033706,1699.174153,241.751884,323.237133,76.344842,7563.518513,1696.415530,235.816447,312.690947,70.481804,77.581481,23.372873,4.076208,5.653050,1.564656,11597.181675,2587.362344,372.092494,460.974318,105.091409,2874.507940,637.711730,96.773392,117.111714,25.407627,9228.328525,1995.300589,273.945361,335.489190,76.551972,2318.033751,565.316439,98.115889,128.550038,31.563530,4,3,1,4,4,4,4,4,4,1,4,4,4,4
1554499922.364224,3380.134730,821.337315,121.272044,159.284325,35.817233,1879.874686,449.892729,61.389702,82.256628,18.128426,173.605265,40.124983,5.789510,7.606541,1.657437,6428.507707,1546.972366,218.684618,287.907297,64.386334,10266.803060,2332.923191,304.310489,400.978770,87.025228,1798.150585,509.043448,87.240291,127.066349,32.176033,696.296023,192.292926,33.516915,47.858472,11.432059,6463.322475,1565.315032,218.747606,293.540955,66.949095,6589.039828,1561.593264,213.619551,283.835853,61.492126,67.698194,21.504349,3.721016,5.163614,1.363157,10113.733968,2385.781733,337.308384,419.198801,91.822021,2509.471903,588.932624,87.689087,106.253241,22.175969,8048.423242,1840.562157,249.496711,305.237153,66.798334,2013.592892,521.804968,89.281039,116.601847,27.411987,4,3,1,4,4,4,4,4,4,1,4,4,4,4
